grain,Primary shape,Secondary feature,Fractures
g_189,jagged-vesicular,none,none observed
g_190,blocky,jagged-vesicular,some
g_191,blocky,jagged-vesicular,some
g_192,blocky,none,some
g_193,jagged-vesicular,none,maybe some
g_194,blocky,none,clearly many
g_195,blocky,none,maybe some
g_196,blocky,none,some
g_197,jagged-vesicular,fluidal,some
g_198,jagged-vesicular,none,none observed
g_199,elongated-tubular,blocky,maybe some
g_200,blocky,none,none observed
g_201,jagged-vesicular,elongated-tubular,some
g_202,jagged-vesicular,none,none observed
g_203,blocky,none,some
g_204,elongated-tubular,jagged-vesicular,maybe some
g_205,blocky,none,clearly many
g_206,blocky,none,some
g_207,blocky,none,maybe some
g_208,jagged-vesicular,none,none
g_209,elongated-tubular,none,none observed
g_210,elongated-tubular,none,none observed
g_211,jagged-vesicular,fluidal,some
g_212,blocky,none,none observed
g_213,blocky,none,maybe some
g_214,jagged-vesicular,none,none observed
g_215,blocky,none,some
g_216,jagged-vesicular,none,none
g_217,elongated-tubular,none,none
g_218,blocky,none,clearly many
g_219,blocky,none,none observed
g_220,blocky,none,none observed
g_221,blocky,none,none observed
g_222,blocky,none,maybe some
g_223,jagged-vesicular,none,none
g_224,blocky,none,none observed
g_225,jagged-vesicular,fluidal,none
g_226,elongated-tubular,fluidal,none observed
g_227,blocky,elongated-tubular,some
g_228,elongated-tubular,blocky,maybe some
g_229,jagged-vesicular,none,maybe some
g_230,blocky,none,clearly many
g_231,jagged-vesicular,none,none observed
g_232,blocky,none,maybe some
g_233,elongated-tubular,none,none observed
g_234,blocky,none,maybe some
g_235,jagged-vesicular,none,none observed
g_236,elongated-tubular,none,none observed
g_237,blocky,jagged-vesicular,maybe some
g_238,blocky,none,none observed
g_239,blocky,none,none observed
g_240,blocky,none,maybe some
g_241,blocky,none,maybe some
g_242,blocky,none,maybe some
g_243,blocky,none,maybe some
g_244,blocky,jagged-vesicular,clearly many
g_245,jagged-vesicular,none,none observed
g_246,jagged-vesicular,blocky,clearly many
g_247,elongated-tubular,none,maybe some
g_248,elongated-tubular,none,none observed
g_249,blocky,none,maybe some
g_250,blocky,none,none
g_251,elongated-tubular,none,none observed
g_252,jagged-vesicular,none,none
g_253,blocky,none,maybe some
g_254,blocky,none,some
g_255,blocky,elongated-tubular,none observed
g_256,blocky,none,clearly many
g_257,blocky,none,none observed
g_258,fluidal,none,none
g_259,jagged-vesicular,blocky,some
g_260,blocky,none,maybe some
g_261,blocky,none,maybe some
g_262,jagged-vesicular,blocky,none observed
g_263,blocky,none,some
g_264,blocky,none,none observed
g_265,jagged-vesicular,none,none observed
g_266,blocky,none,clearly many
g_267,blocky,none,maybe some
g_268,jagged-vesicular,none,maybe some
g_269,blocky,elongated-tubular,none observed
g_270,elongated-tubular,none,none observed
g_271,blocky,none,maybe some
g_272,blocky,none,some
g_273,jagged-vesicular,fluidal,none observed
g_274,blocky,none,none observed
g_275,jagged-vesicular,blocky,maybe some
g_276,blocky,none,none observed
g_277,jagged-vesicular,none,maybe some
g_278,jagged-vesicular,none,maybe some
g_279,elongated-tubular,fluidal,none
g_280,blocky,none,none observed
g_281,jagged-vesicular,none,none observed
g_282,blocky,jagged-vesicular,some
g_283,blocky,fluidal,none
g_284,jagged-vesicular,none,none observed
g_285,jagged-vesicular,none,none
g_286,elongated-tubular,fluidal,none observed
g_287,blocky,none,none observed
g_288,elongated-tubular,fluidal,none observed
g_289,jagged-vesicular,none,none
g_290,blocky,none,some
g_291,blocky,none,maybe some
g_292,blocky,jagged-vesicular,maybe some
g_293,jagged-vesicular,none,none
g_294,blocky,none,none observed
g_295,blocky,none,none observed
g_296,jagged-vesicular,none,maybe some
g_297,jagged-vesicular,none,none
g_298,blocky,none,some
g_299,blocky,none,maybe some
g_300,blocky,none,some
g_301,jagged-vesicular,fluidal,none observed
g_302,jagged-vesicular,none,maybe some
g_303,blocky,none,none observed
g_304,elongated-tubular,blocky,some
g_305,elongated-tubular,none,maybe some
g_306,blocky,none,some
g_307,blocky,none,none observed
g_308,blocky,none,some
g_309,blocky,none,maybe some
g_310,jagged-vesicular,none,none observed
g_311,blocky,none,none observed
g_312,blocky,none,some
g_313,blocky,none,some
g_314,blocky,none,some
g_315,blocky,none,maybe some
g_316,blocky,none,some
g_317,blocky,none,maybe some
g_318,blocky,none,none observed
g_319,fluidal,none,none observed
g_320,blocky,none,maybe some
g_321,jagged-vesicular,elongated-tubular,none observed
g_322,jagged-vesicular,none,none observed
g_323,jagged-vesicular,fluidal,maybe some
g_324,blocky,fluidal,some
g_325,blocky,none,maybe some
g_326,jagged-vesicular,none,none observed
g_327,jagged-vesicular,none,maybe some
g_328,blocky,none,some
g_329,blocky,none,some
g_330,jagged-vesicular,none,some
g_331,blocky,none,maybe some
g_332,blocky,none,none observed
g_333,blocky,none,none observed
g_334,elongated-tubular,jagged-vesicular,maybe some
g_335,jagged-vesicular,none,none
g_336,elongated-tubular,none,none observed
g_337,elongated-tubular,none,maybe some
g_338,blocky,none,maybe some
g_339,blocky,none,none observed
g_340,elongated-tubular,none,none observed
g_341,jagged-vesicular,none,none
g_342,blocky,none,maybe some
g_343,blocky,none,some
g_344,blocky,jagged-vesicular,none observed
g_345,blocky,fluidal,none
g_346,jagged-vesicular,none,none observed
g_347,elongated-tubular,fluidal,maybe some
g_348,jagged-vesicular,elongated-tubular,maybe some
g_349,blocky,none,maybe some
g_350,blocky,none,some
g_351,blocky,none,none observed
g_352,blocky,none,clearly many
g_353,blocky,none,maybe some
g_354,elongated-tubular,none,maybe some
g_355,blocky,none,maybe some
g_356,jagged-vesicular,none,none observed
g_357,jagged-vesicular,none,none
g_358,blocky,none,maybe some
g_359,jagged-vesicular,none,some
g_360,jagged-vesicular,none,none
g_361,elongated-tubular,none,maybe some
g_362,elongated-tubular,none,none observed
g_363,jagged-vesicular,none,none observed
g_364,jagged-vesicular,none,maybe some
g_365,blocky,none,maybe some
g_366,elongated-tubular,jagged-vesicular,none observed
g_367,blocky,fluidal,none observed
g_368,jagged-vesicular,none,none
g_369,elongated-tubular,fluidal,maybe some
g_370,elongated-tubular,none,some
g_371,jagged-vesicular,blocky,clearly many
g_372,blocky,jagged-vesicular,some
g_373,blocky,none,some
g_374,blocky,none,clearly many
g_375,elongated-tubular,none,some
g_376,elongated-tubular,none,none observed
g_377,blocky,jagged-vesicular,some
g_378,blocky,none,some
g_379,blocky,none,clearly many
g_380,jagged-vesicular,elongated-tubular,none observed
g_381,blocky,none,maybe some
g_382,jagged-vesicular,none,none
g_383,blocky,none,none observed
g_384,jagged-vesicular,none,none
g_385,blocky,fluidal,maybe some
g_386,blocky,none,maybe some
g_387,blocky,none,some
g_388,blocky,none,maybe some
g_389,blocky,none,none observed
g_390,blocky,none,some
g_391,blocky,elongated-tubular,maybe some
g_392,blocky,elongated-tubular,some
g_393,blocky,none,some
g_394,blocky,none,none observed
g_395,jagged-vesicular,none,none observed
g_396,blocky,jagged-vesicular,some
g_397,blocky,none,none observed
g_398,blocky,none,maybe some
g_399,elongated-tubular,none,maybe some
g_400,blocky,none,some
g_401,elongated-tubular,fluidal,some
g_402,elongated-tubular,none,some
g_403,blocky,none,some
g_404,elongated-tubular,none,maybe some
g_405,blocky,none,none observed
g_406,elongated-tubular,none,some
g_407,blocky,none,none observed
g_408,blocky,none,some
g_409,blocky,none,maybe some
g_410,blocky,none,none observed
g_411,blocky,none,clearly many
g_412,blocky,none,some
g_413,blocky,fluidal,none
g_414,blocky,fluidal,none observed
g_415,elongated-tubular,none,some
g_416,blocky,none,clearly many
g_417,blocky,none,clearly many
g_418,blocky,none,clearly many
g_419,blocky,elongated-tubular,clearly many
g_420,elongated-tubular,none,none observed
g_421,blocky,none,some
g_422,blocky,none,maybe some
g_423,blocky,jagged-vesicular,some
g_424,blocky,none,some
g_425,blocky,fluidal,maybe some
g_426,blocky,jagged-vesicular,none observed
g_427,blocky,none,some
g_428,jagged-vesicular,none,none observed
g_429,blocky,jagged-vesicular,none observed
g_430,elongated-tubular,fluidal,some
g_431,elongated-tubular,blocky,maybe some
g_432,blocky,none,maybe some
g_433,blocky,none,maybe some
g_434,jagged-vesicular,fluidal,none observed
g_435,blocky,none,some
g_436,jagged-vesicular,none,none observed
g_437,blocky,jagged-vesicular,maybe some
g_438,blocky,none,maybe some
g_439,blocky,none,some
g_440,elongated-tubular,blocky,maybe some
g_441,blocky,elongated-tubular,maybe some
g_442,jagged-vesicular,blocky,clearly many
g_443,blocky,none,clearly many
g_444,blocky,none,maybe some
g_445,blocky,none,maybe some
g_446,blocky,none,some
g_447,jagged-vesicular,blocky,maybe some
g_448,blocky,none,maybe some
g_449,blocky,jagged-vesicular,maybe some
g_450,jagged-vesicular,none,maybe some
g_451,blocky,jagged-vesicular,maybe some
g_452,blocky,none,none observed
g_453,jagged-vesicular,blocky,maybe some
g_454,blocky,none,some
g_455,blocky,fluidal,some
g_456,jagged-vesicular,blocky,some
g_457,blocky,none,clearly many
g_458,blocky,none,some
g_459,blocky,none,clearly many
g_460,blocky,fluidal,none observed
g_461,jagged-vesicular,none,maybe some
g_462,jagged-vesicular,none,clearly many
g_463,jagged-vesicular,none,maybe some
g_464,jagged-vesicular,none,some
g_465,elongated-tubular,none,maybe some
g_466,jagged-vesicular,none,none observed
g_467,blocky,none,some
g_468,jagged-vesicular,none,some
g_469,elongated-tubular,none,maybe some
g_470,blocky,none,maybe some
g_471,blocky,none,maybe some
g_472,elongated-tubular,none,none observed
g_473,jagged-vesicular,fluidal,none
g_474,elongated-tubular,none,maybe some
g_475,blocky,none,clearly many
g_476,elongated-tubular,fluidal,none observed
g_477,blocky,none,clearly many
g_478,blocky,elongated-tubular,maybe some
g_479,elongated-tubular,fluidal,none observed
g_480,blocky,none,maybe some
g_481,jagged-vesicular,none,none observed
g_482,jagged-vesicular,none,none observed
g_483,jagged-vesicular,none,maybe some
g_484,jagged-vesicular,none,none observed
g_485,blocky,none,clearly many
g_486,jagged-vesicular,none,none observed
g_487,blocky,none,maybe some
g_488,elongated-tubular,none,maybe some
g_489,elongated-tubular,none,none observed
g_490,blocky,none,some
g_491,jagged-vesicular,none,none
g_492,blocky,none,maybe some
g_493,blocky,none,none observed
g_494,elongated-tubular,fluidal,maybe some
g_495,elongated-tubular,none,some
g_496,jagged-vesicular,none,maybe some
g_497,blocky,fluidal,maybe some
g_498,blocky,none,some
g_499,jagged-vesicular,none,some
g_500,jagged-vesicular,fluidal,none observed
g_501,elongated-tubular,blocky,some
g_502,jagged-vesicular,none,some
g_503,blocky,none,some
g_504,blocky,none,maybe some
g_505,blocky,none,maybe some
g_506,blocky,none,clearly many
g_507,blocky,none,some
g_508,elongated-tubular,none,none observed
g_509,blocky,jagged-vesicular,some
g_510,blocky,none,some
g_511,jagged-vesicular,none,some
g_512,blocky,fluidal,some
g_513,blocky,none,clearly many
g_514,elongated-tubular,blocky,maybe some
g_515,blocky,none,some
g_516,jagged-vesicular,none,maybe some
g_517,blocky,none,none observed
g_518,jagged-vesicular,none,none observed
g_519,jagged-vesicular,none,none observed
g_520,jagged-vesicular,blocky,none observed
g_521,elongated-tubular,fluidal,maybe some
g_522,blocky,none,clearly many
g_523,elongated-tubular,blocky,maybe some
g_524,elongated-tubular,none,maybe some
g_525,blocky,elongated-tubular,maybe some
g_526,blocky,none,clearly many
g_527,blocky,elongated-tubular,clearly many
g_528,blocky,none,clearly many
g_529,blocky,none,clearly many
g_530,jagged-vesicular,none,some
g_531,elongated-tubular,jagged-vesicular,some
g_532,blocky,none,some
g_533,blocky,none,clearly many
g_534,elongated-tubular,none,some
g_535,jagged-vesicular,none,maybe some
g_536,blocky,none,clearly many
g_537,blocky,none,some
g_538,blocky,none,clearly many
