filename,type,p,A,w,b,c,a,m,L_b,W_b,d_H,p_CP,A_CP,e_CE,L_maj,L_min,d_BC,l_F,w_F,d_F,,Circ_DL,Rec_DL,Com_DL,Elo_DL,,Circ_CI,AR_CI,Con_CI,Sol_CI,,Circ_LL,Elo_LL,AR_LL,d_H,Con_LL,Sol_LL,,form factor,axial ratio,convexity,solidity,,circularity,rectangularity,form factor,Feret aspect ratio,Feret aspect ratio,regularity parameter
Electron Image 10-3.tif,Eltub,546.3574,17369,131.0553,170.2953,467.1887,171,101.8304,174,138,148.7108,524.5584,18032,546.8511,170.5622,132.9264,180.9686,131.0553,170.2953,176,,1.1695,0.90651,0.77825,1.6793,,0.73119,1.2831,1.0009,0.96323,,0.8551,0.2069,0.7931,148.7108,0.9601,0.96323,,0.73119,0.77934,0.9601,0.96323,,0.67527,0.77825,0.73119,0.76958,1.2994,0.38426
Electron Image 10-6.tif,Eltub,705.8549,17445,89.3643,253.7446,468.2097,252,68.7953,254,90,149.0358,645.9727,19709,672.0969,276.6252,85.5199,254.3423,89.3643,253.7446,255,,1.5076,1.0286,0.76933,3.663,,0.44,3.2346,0.95217,0.88513,,0.66332,0.64567,0.35433,149.0358,0.91516,0.88513,,0.44,0.30915,0.91516,0.88513,,0.34336,0.76933,0.44,0.35218,2.8394,0.11623
Electron Image 11-10.tif,Eltub,961.0996,23164,83.3234,382.8352,539.5252,370,60.5431,383,87,171.7362,909.2001,28522,976.2341,417.9234,78.4399,385.9028,83.3234,382.8352,387,,1.7814,1.0309,0.72616,6.1114,,0.31513,5.3279,1.0157,0.81215,,0.56136,0.77285,0.22715,171.7362,0.946,0.81215,,0.31513,0.18769,0.946,0.81215,,0.19805,0.72616,0.31513,0.21765,4.5946,0.04532
Electron Image 11-24a.tif,Eltub,1158.0702,47631,171.842,406.674,773.6594,405,116.951,405,177,246.2634,1031.7199,54398,1082.565,410.7213,159.9911,408.6576,171.842,406.674,409,,1.4969,1.0009,0.68158,3.463,,0.4463,2.5672,0.9348,0.8756,,0.66806,0.56296,0.43704,246.2634,0.8909,0.8756,,0.4463,0.38954,0.8909,0.8756,,0.36315,0.68158,0.4463,0.42255,2.3666,0.11046
Electron Image 11-25.tif,Eltub,676.3818,22095,136.0983,242.4332,526.9288,230,91.0412,245,139,167.7266,644.725,24080,685.0243,235.2284,125.198,245.2877,136.0983,242.4332,246,,1.2836,0.89343,0.66965,2.5263,,0.6069,1.8789,1.0128,0.91757,,0.77904,0.43265,0.56735,167.7266,0.9532,0.91757,,0.6069,0.53224,0.9532,0.91757,,0.46758,0.66965,0.6069,0.56138,1.7813,0.19003
Electron Image 11-28.tif,Eltub,797.3768,17724,111.2956,268.4742,471.9389,261,65.9296,269,117,150.2228,690.1219,24106,689.0448,286.6787,94.2694,269.609,111.2956,268.4742,271,,1.6896,1.0498,0.59317,3.9588,,0.3503,3.0411,0.86414,0.73525,,0.59186,0.56506,0.43494,150.2228,0.86549,0.73525,,0.3503,0.32883,0.86549,0.73525,,0.31046,0.59317,0.3503,0.41455,2.4123,0.06451
Electron Image 12-02.tif,Eltub,989.6367,30317,125.9248,400.6998,617.2314,345,75.6209,407,131,196.4709,927.4701,36926,964.0659,387.5493,112.9326,409.099,125.9248,400.6998,409,,1.6033,0.9396,0.60084,4.5622,,0.389,3.4317,0.97416,0.82102,,0.6237,0.67813,0.32187,196.4709,0.93718,0.82102,,0.389,0.2914,0.93718,0.82102,,0.23064,0.60084,0.389,0.31426,3.1821,0.053906
Electron Image 12-07.tif,Eltub,856.7077,26407,124.539,321.6375,576.0557,307,82.1703,322,126,183.3642,801.796,29671,872.0261,329.2146,110.0051,322.8514,124.539,321.6375,324,,1.4872,0.96005,0.65925,3.7361,,0.45213,2.9927,1.0179,0.88999,,0.67241,0.6087,0.3913,183.3642,0.9359,0.88999,,0.45213,0.33414,0.9359,0.88999,,0.32257,0.65925,0.45213,0.3872,2.5826,0.096147
Electron Image 12-09.tif,Eltub,1072.3717,50115,203.6433,339.7381,793.5765,332,149.1941,341,203,252.6032,953.6783,55085,940.5715,331.2625,198.7425,344.5766,203.6433,339.7381,346,,1.3513,0.98676,0.72436,2.2253,,0.54763,1.6668,0.87709,0.90978,,0.74002,0.40469,0.59531,252.6032,0.88932,0.90978,,0.54763,0.59995,0.88932,0.90978,,0.53741,0.72436,0.54763,0.59941,1.6683,0.21318
Electron Image 13-18.tif,Eltub,1009.5605,46782,162.8735,351.8275,766.7333,342,132.881,353,163,244.0588,938.0458,49357,945.8318,365.2881,167.4883,357.6549,162.8735,351.8275,359,,1.3167,0.98073,0.81639,2.5737,,0.5768,2.181,0.93687,0.94783,,0.75947,0.53824,0.46176,244.0588,0.92916,0.94783,,0.5768,0.45851,0.92916,0.94783,,0.46565,0.81639,0.5768,0.46294,2.1601,0.21927
