filename,type,p,A,w,b,c,a,m,L_b,W_b,d_H,p_CP,A_CP,e_CE,L_maj,L_min,d_BC,l_F,w_F,d_F,,Circ_DL,Rec_DL,Com_DL,Elo_DL,,Circ_CI,AR_CI,Con_CI,Sol_CI,,Circ_LL,Elo_LL,AR_LL,d_H,Con_LL,Sol_LL,,form factor,axial ratio,convexity,solidity,,circularity,rectangularity,form factor,Feret aspect ratio,Feret aspect ratio,regularity parameter
Electron Image 21-13.tif,Eltub,1073.8864,30635,110.4625,409.8224,620.4601,385,74.8927,411,111,197.4986,972.9747,36609,1026.3694,435.4221,97.866,412.7045,110.4625,409.8224,414,,1.7308,1.032,0.67672,5.1407,,0.33382,4.4492,0.95575,0.83682,,0.57777,0.72993,0.27007,197.4986,0.90603,0.83682,,0.33382,0.22476,0.90603,0.83682,,0.22901,0.67672,0.33382,0.26954,3.7101,0.051733
Electron Image 21-22.tif,Eltub,1095.0164,26707,76.3552,438.1398,579.3186,438,60.8884,438,77,184.4028,1024.1219,29994,1081.3545,474.2211,75.2215,438.3811,76.3552,438.1398,439,,1.8902,1.0642,0.79831,7.1935,,0.27989,6.3043,0.98752,0.89041,,0.52905,0.8242,0.1758,184.4028,0.93526,0.89041,,0.27989,0.15862,0.93526,0.89041,,0.17694,0.79831,0.27989,0.17427,5.7382,0.039537
Electron Image 21-6.tif,Eltub,658.1737,18333,96.3765,246.0009,479.9784,216,74.6235,253,111,152.7819,617.7473,19782,654.5687,245.3805,99.1018,256.6729,96.3765,246.0009,257,,1.3713,0.96118,0.77326,2.8945,,0.53182,2.476,0.99452,0.92675,,0.72926,0.56126,0.43874,152.7819,0.93858,0.92675,,0.53182,0.40387,0.93858,0.92675,,0.35431,0.77326,0.53182,0.39177,2.5525,0.1457
Electron Image 22-22.tif,Eltub,725.1686,23708,149.6284,246.1087,545.8237,189,96.2308,277,146,173.7411,688.2153,25326,711.7018,246.086,128.0661,278.4026,149.6284,246.1087,279,,1.3286,0.91623,0.6438,1.964,,0.56654,1.9216,0.98143,0.93611,,0.75269,0.47292,0.52708,173.7411,0.94904,0.93611,,0.56654,0.52041,0.94904,0.93611,,0.38946,0.6438,0.56654,0.60798,1.6448,0.14205
Electron Image 22-24.tif,Eltub,998.791,34618,118.0068,399.6697,659.5624,400,86.5575,400,118,209.9452,951.8377,39007,958.6095,411.8371,111.9965,399.7124,118.0068,399.6697,401,,1.5143,0.96469,0.734,4.6212,,0.43608,3.6772,0.95977,0.88748,,0.66036,0.705,0.295,209.9452,0.95299,0.88748,,0.43608,0.27194,0.95299,0.88748,,0.27588,0.734,0.43608,0.29526,3.3868,0.088303
Electron Image 22-30.tif,Eltub,617.997,17062,123.3346,184.7785,463.0415,184,92.6129,185,125,147.3907,551.9554,18383,583.9602,195.2876,117.8619,189.7065,123.3346,184.7785,191,,1.3346,1.0029,0.74868,1.9868,,0.56139,1.6569,0.94492,0.92814,,0.74926,0.32432,0.67568,147.3907,0.89314,0.92814,,0.56139,0.60353,0.89314,0.92814,,0.60364,0.74868,0.56139,0.66747,1.4982,0.25371
Electron Image 23-4.tif,Eltub,598.1808,14113,87.7848,204.2199,421.1285,201,69.1951,209,90,134.0494,535.796,15365,557.5939,212.8036,87.1739,210.8767,87.7848,204.2199,212,,1.4204,1.0243,0.78723,2.9048,,0.49564,2.4411,0.93215,0.91852,,0.70402,0.56938,0.43062,134.0494,0.89571,0.91852,,0.49564,0.40964,0.89571,0.91852,,0.40408,0.78723,0.49564,0.42985,2.3264,0.15767
Electron Image 24-09.tif,Eltub,1228.0702,43089,150.3447,436.9601,735.848,390,98.7443,447,165,234.2277,1055.2174,49358,1080.7524,424.4178,140.2525,448.4964,150.3447,436.9601,449,,1.6689,1.0455,0.6559,3.9496,,0.35903,3.0261,0.88004,0.87299,,0.59919,0.63087,0.36913,234.2277,0.85925,0.87299,,0.35903,0.33046,0.85925,0.87299,,0.27275,0.6559,0.35903,0.34407,2.9064,0.064228
Electron Image 25-1.tif,Eltub,1338.587,22011,47.2258,555.9781,525.9262,556,39.5727,556,47,167.4075,1249.3322,24772,1438.1514,633.1522,46.5664,556.0593,47.2258,555.9781,557,,2.5452,1.1096,0.83831,14.0501,,0.15437,13.5968,1.0744,0.88854,,0.3929,0.91547,0.084532,167.4075,0.93332,0.88854,,0.15437,0.073547,0.93332,0.88854,,0.090637,0.83831,0.15437,0.084942,11.7728,0.011729
Electron Image 261-2.tif,Eltub,740.9676,26512,170.252,201.579,577.1998,197,136.6238,248,184,183.7284,673.9727,28436,703.6025,215.4313,164.7275,249.1766,170.252,201.579,250,,1.2837,0.99638,0.77251,1.4419,,0.60681,1.3078,0.94957,0.93234,,0.77898,0.25806,0.74194,183.7284,0.90958,0.93234,,0.60681,0.76464,0.90958,0.93234,,0.54367,0.77251,0.60681,0.84459,1.184,0.25486
Electron Image 270-9.tif,Eltub,721.3696,13267,68.0523,266.3257,408.3112,264,49.9026,266,68,129.9695,634.5757,15069,671.787,282.1321,63.4147,266.5521,68.0523,266.3257,267,,1.7667,1.0787,0.73201,5.2903,,0.32038,4.449,0.93127,0.88042,,0.56602,0.74436,0.25564,129.9695,0.87968,0.88042,,0.32038,0.22477,0.87968,0.88042,,0.23775,0.73201,0.32038,0.25552,3.9135,0.055757
Electron Image 272-08.tif,Eltub,506.0315,10405,101.0493,162.5078,361.598,139,63.8712,176,103,115.1002,459.1198,12248,470.9306,163.4034,88.8229,177.0028,101.0493,162.5078,178,,1.3994,0.96,0.63363,2.1763,,0.51062,1.8397,0.93063,0.84953,,0.71458,0.41477,0.58523,115.1002,0.90729,0.84953,,0.51062,0.54358,0.90729,0.84953,,0.42286,0.63363,0.51062,0.62181,1.6082,0.13681
Electron Image 28-7.tif,Eltub,608.132,10640,54.2291,254.85,365.6586,253,41.5313,255,54,116.3927,575.1371,11868,595.0502,269.9004,51.6602,255.0098,54.2291,254.85,256,,1.6631,0.98378,0.76988,6.0918,,0.36154,5.2245,0.97849,0.89653,,0.60128,0.78824,0.21176,116.3927,0.94574,0.89653,,0.36154,0.1914,0.94574,0.89653,,0.20832,0.76988,0.36154,0.21279,4.6995,0.057985
Electron Image 282-06.tif,Eltub,1051.1686,20422,92,375,506.587,362,55.3085,379,96,161.2517,870.7351,23891,1015.0585,382.2719,82.0722,380.0908,92,375,381,,2.075,1.1254,0.59194,6.5451,,0.23225,4.6578,0.96565,0.8548,,0.48193,0.7467,0.2533,161.2517,0.82835,0.8548,,0.23225,0.2147,0.82835,0.8548,,0.17998,0.59194,0.23225,0.24533,4.0761,0.024744
Electron Image 284-2.tif,Eltub,720.8255,19065,107.3934,250.9365,489.4669,244,76.8452,252,109,155.8022,643.4701,21326,690.5389,236.6039,108.2485,253.2114,107.3934,250.9365,254,,1.4727,1.0058,0.70745,3.1752,,0.46109,2.1857,0.95798,0.89398,,0.67904,0.56746,0.43254,155.8022,0.89269,0.89398,,0.46109,0.45751,0.89269,0.89398,,0.3786,0.70745,0.46109,0.42797,2.3366,0.1235
Electron Image 292-3.tif,Eltub,850.1219,29258,129.0442,298.7091,606.3554,285,98.0033,300,135,193.0089,750.6001,31811,755.9142,298.2608,127.6181,301.5375,129.0442,298.7091,302,,1.402,0.99371,0.75903,2.9081,,0.50874,2.3371,0.88918,0.91974,,0.71326,0.55,0.45,193.0089,0.88293,0.91974,,0.50874,0.42787,0.88293,0.91974,,0.40971,0.75903,0.50874,0.43201,2.3148,0.15821
Electron Image 294-6.tif,Eltub,696.3991,19205,110.2436,244.1507,491.2608,236,78.8443,247,111,156.3732,627.3036,21604,665.2979,251.3448,102.8243,250.7848,110.2436,244.1507,252,,1.4176,0.98252,0.71351,2.9932,,0.49763,2.4444,0.95534,0.88896,,0.70543,0.55061,0.44939,156.3732,0.90078,0.88896,,0.49763,0.4091,0.90078,0.88896,,0.3888,0.71351,0.49763,0.45154,2.2146,0.13805
Electron Image 302-7.tif,Eltub,696.6072,14994,95.8729,251.8568,434.0739,245,59.4032,255,97,138.17,625.0925,18284,663.1647,270.9211,81.3951,256.0488,95.8729,251.8568,257,,1.6048,1.0017,0.62097,4.1244,,0.38829,3.3285,0.95199,0.82006,,0.62313,0.61961,0.38039,138.17,0.89734,0.82006,,0.38829,0.30044,0.89734,0.82006,,0.29119,0.62097,0.38829,0.38066,2.627,0.07021
Electron Image 305-4.tif,Eltub,839.3351,26589,162.211,286.874,578.0374,263,92.7422,294,160,183.995,748.2224,31550,766.8299,279.6263,131.0199,295.3473,162.211,286.874,297,,1.452,0.93449,0.57139,2.8358,,0.47429,2.1342,0.91362,0.84276,,0.68868,0.45578,0.54422,183.995,0.89145,0.84276,,0.47429,0.46855,0.89145,0.84276,,0.3881,0.57139,0.47429,0.56544,1.7685,0.10518
Electron Image 310-2.tif,Eltub,813.1514,23547,111.6994,273.4612,543.9672,274,86.4343,273,112,173.1501,674.1737,25474,684.4388,280.4703,109.7099,273.4685,111.6994,273.4612,275,,1.4949,1.0556,0.77088,3.17,,0.44751,2.5565,0.84171,0.92435,,0.66896,0.58974,0.41026,173.1501,0.82909,0.92435,,0.44751,0.39116,0.82909,0.92435,,0.4009,0.77088,0.44751,0.40847,2.4482,0.1383
Electron Image 32-06.tif,Eltub,787.5605,16381,71.5694,337.2024,453.7066,336,48.4822,337,75,144.4193,766.7737,19150,778.9094,354.8207,64.8369,337.3796,71.5694,337.2024,338,,1.7358,0.96333,0.67877,6.9304,,0.33188,5.4725,0.98902,0.8554,,0.57609,0.77745,0.22255,144.4193,0.97361,0.8554,,0.33188,0.18273,0.97361,0.8554,,0.18324,0.67877,0.33188,0.21224,4.7115,0.041278
Electron Image 33-08.tif,Eltub,808.926,22792,131.5414,300.4247,535.1754,285,75.4603,299,132,170.3516,741.529,27151,841.1149,287.9978,111.5412,306.5453,131.5414,300.4247,307,,1.5115,0.93633,0.57675,3.7768,,0.4377,2.582,1.0398,0.83945,,0.66159,0.55853,0.44147,170.3516,0.91668,0.83945,,0.4377,0.3873,0.91668,0.83945,,0.30882,0.57675,0.4377,0.43785,2.2839,0.077958
Electron Image 33-4.tif,Eltub,638.6833,11969,73.8766,248.1259,387.8233,246,48.1124,248,75,123.448,570.0803,14622,590.4651,264.3492,62.6186,248.2197,73.8766,248.1259,249,,1.6468,0.99174,0.65295,5.113,,0.36872,4.2216,0.9245,0.81856,,0.60722,0.69758,0.30242,123.448,0.89259,0.81856,,0.36872,0.23688,0.89259,0.81856,,0.24734,0.65295,0.36872,0.29774,3.3587,0.059549
Electron Image 34-04 - Copy.tif,Eltub,1177.5189,30149,86.1127,441.2233,615.5189,439,68.8235,441,86,195.9257,1019.8721,33942,1136.6586,470.4177,85.1602,441.3162,86.1127,441.2233,442,,1.9131,1.1165,0.7935,6.3786,,0.27324,5.5239,0.9653,0.88825,,0.52273,0.80499,0.19501,195.9257,0.86612,0.88825,,0.27324,0.18103,0.86612,0.88825,,0.1971,0.7935,0.27324,0.19517,5.1238,0.042734
Electron Image 34-04_a.tif,Eltub,672.3229,20307,111.7485,254.017,505.1587,245,79.7451,254,112,160.797,646.7077,22316,670.6171,254.3422,106.0036,257.5966,111.7485,254.017,258,,1.3309,0.91906,0.71539,3.0723,,0.56455,2.3994,0.99746,0.90997,,0.75136,0.55906,0.44094,160.797,0.9619,0.90997,,0.56455,0.41678,0.9619,0.90997,,0.38965,0.71539,0.56455,0.43993,2.2731,0.15737
Electron Image 34-08.tif,Eltub,1549.3738,62745,221.95,445.4316,887.9622,427,147.6143,446,224,282.6472,1187.5504,77201,1249.2264,446.3563,197.0936,453.0282,221.95,445.4316,451,,1.7449,1.1608,0.63466,2.8927,,0.32846,2.2647,0.80628,0.81275,,0.57311,0.49776,0.50224,282.6472,0.76647,0.81275,,0.32846,0.44156,0.76647,0.81275,,0.38926,0.63466,0.32846,0.49828,2.0069,0.081144
Electron Image 35-3.tif,Eltub,737.3696,14192,86.1881,255.7265,422.3055,253,56.0272,255,86,134.424,637.8721,18520,645.6936,281.6322,70.8355,255.9511,86.1881,255.7265,257,,1.7461,1.0783,0.6439,4.5157,,0.32801,3.9759,0.87567,0.76631,,0.57272,0.66275,0.33725,134.424,0.86506,0.76631,,0.32801,0.25152,0.86506,0.76631,,0.27583,0.6439,0.32801,0.33703,2.9671,0.058256
Electron Image 36-09.tif,Eltub,1601.0794,65520,212.8089,462.0777,907.3856,430,149.7862,481,227,288.8298,1229.2905,78656,1301.7612,438.4112,212.2148,487.1242,212.8089,462.0777,488,,1.7645,1.1862,0.6663,2.8708,,0.32119,2.0659,0.81305,0.83299,,0.56673,0.52807,0.47193,288.8298,0.76779,0.83299,,0.32119,0.48405,0.76779,0.83299,,0.35156,0.6663,0.32119,0.46055,2.1713,0.075237
Electron Image 36-11.tif,Eltub,1065.5504,28654,122.1639,339.3077,600.064,332,86.3079,339,122,191.0063,800.9747,31859,854.2839,315.7187,123.986,339.5247,122.1639,339.3077,340,,1.7757,1.1545,0.69127,3.8467,,0.31714,2.5464,0.80173,0.8994,,0.56315,0.64012,0.35988,191.0063,0.7517,0.8994,,0.31714,0.39271,0.7517,0.8994,,0.31648,0.69127,0.31714,0.36004,2.7775,0.069382
Electron Image 36-14.tif,Eltub,355.0021,4373,38.4118,147.035,234.42,146,29.6081,146,40,74.6182,335.8305,4815,347.2617,150.3765,37.9903,147.0918,38.4118,147.035,148,,1.5144,0.95715,0.77427,4.9311,,0.43604,3.9583,0.9782,0.9082,,0.66033,0.72603,0.27397,74.6182,0.946,0.9082,,0.43604,0.25263,0.946,0.9082,,0.25734,0.77427,0.43604,0.26124,3.8279,0.086883
Electron Image 36-18.tif,Eltub,937.6022,35062,151.6332,339.9612,663.7786,334,104.3235,339,152,211.2873,858.3717,39301,882.8839,330.2151,139.6768,340.9161,151.6332,339.9612,341,,1.4125,0.95363,0.68016,3.2016,,0.5012,2.3641,0.94164,0.89214,,0.70795,0.55162,0.44838,211.2873,0.9155,0.89214,,0.5012,0.42299,0.9155,0.89214,,0.38411,0.68016,0.5012,0.44603,2.242,0.13094
Electron Image 38-13.tif,Eltub,1004.6144,46534,194.0593,337.2865,764.6983,302,138.1006,364,200,243.411,940.4895,49113,973.0105,344.2253,179.4937,369.3887,194.0593,337.2865,370,,1.3137,0.94535,0.71095,2.1868,,0.5794,1.9178,0.96854,0.94749,,0.76119,0.45055,0.54945,243.411,0.93617,0.94749,,0.5794,0.52144,0.93617,0.94749,,0.43422,0.71095,0.5794,0.57535,1.7381,0.17887
Electron Image 38-7.tif,Eltub,838.6905,18845,92.6446,329.8023,486.6346,309,57.6767,331,93,154.9006,767.7788,22516,783.2879,313.5751,84.9349,331.7303,92.6446,329.8023,333,,1.7235,0.99266,0.61677,5.3574,,0.33667,3.6919,0.93394,0.83696,,0.58023,0.71903,0.28097,154.9006,0.91545,0.83696,,0.33667,0.27086,0.91545,0.83696,,0.21804,0.61677,0.33667,0.28091,3.5599,0.045275
Electron Image 40-06.tif,Eltub,494.6001,8166,57.7046,185.4993,320.3389,183,44.0481,186,57,101.967,458.0732,9069,490.3339,196.1977,56.3996,186.6574,57.7046,185.4993,187,,1.544,1.0168,0.76288,4.1545,,0.41948,3.4787,0.99137,0.90043,,0.64767,0.69355,0.30645,101.967,0.92615,0.90043,,0.41948,0.28746,0.92615,0.90043,,0.29842,0.76288,0.41948,0.31108,3.2146,0.095499
Electron Image 41-12.tif,Eltub,1802.7607,46554,229.5589,534.665,764.8626,200,88.319,530,246,243.4633,1325.1312,84120,1455.071,586.9251,198.7169,534.8018,229.5589,534.665,535,,2.357,1.1795,0.3793,2.2645,,0.18001,2.9536,0.80713,0.55342,,0.42427,0.53585,0.46415,243.4633,0.73506,0.55342,,0.18001,0.33857,0.73506,0.55342,,0.20724,0.3793,0.18001,0.42935,2.3291,0.01415
Electron Image 41-20.tif,Eltub,355.5635,6417,68.2451,120.358,283.969,118,53.2479,123,67,90.3901,342.8356,6668,373.3454,127.2347,66.9547,125.7132,68.2451,120.358,125,,1.2521,0.94262,0.78124,2.216,,0.63783,1.9003,1.05,0.96236,,0.79865,0.45528,0.54472,90.3901,0.9642,0.96236,,0.63783,0.52623,0.9642,0.96236,,0.51699,0.78124,0.63783,0.56702,1.7636,0.25762
Electron Image 41-23.tif,Eltub,801.5361,14208,63.8191,305.5659,422.5435,299,46.9118,305,65,134.4998,712.8255,16264,773.433,309.1288,60.6519,305.6927,63.8191,305.5659,307,,1.8969,1.085,0.72858,6.3737,,0.27791,5.0968,0.96494,0.87359,,0.52717,0.78689,0.21311,134.4998,0.88932,0.87359,,0.27791,0.1962,0.88932,0.87359,,0.19359,0.72858,0.27791,0.20886,4.788,0.039196
Electron Image 42-06.tif,Eltub,475.0193,9772,79.4108,165.249,350.4263,159,59.4061,166,81,111.5441,439.0782,10832,461.9721,169.4754,78.147,167.734,79.4108,165.249,168,,1.3555,0.97078,0.74467,2.6765,,0.54422,2.1687,0.97253,0.90214,,0.73771,0.51205,0.48795,111.5441,0.92434,0.90214,,0.54422,0.46111,0.92434,0.90214,,0.44223,0.74467,0.54422,0.48055,2.0809,0.17922
Electron Image 43-02a.tif,Eltub,1502.4865,66958,150.7301,524.4699,917.289,521,127.8952,527,150,291.9821,1343.8347,71343,1453.0908,582.2276,151.6291,533.5262,150.7301,524.4699,534,,1.638,1.1126,0.847,4.0736,,0.37273,3.8398,0.96712,0.93854,,0.61051,0.71537,0.28463,291.9821,0.89441,0.93854,,0.37273,0.26043,0.89441,0.93854,,0.2995,0.847,0.37273,0.2874,3.4795,0.094553
Electron Image 43-09.tif,Eltub,989.3006,32475,197.7938,249.7416,638.8215,240,140.084,257,197,203.3432,811.1169,38131,862.1973,260.6442,179.0511,283.4678,197.7938,249.7416,280,,1.5486,1.1053,0.65742,1.7133,,0.41697,1.4557,0.87152,0.85167,,0.64573,0.23346,0.76654,203.3432,0.81989,0.85167,,0.41697,0.68696,0.81989,0.85167,,0.51458,0.65742,0.41697,0.79199,1.2626,0.14106
Electron Image 43-15.tif,Eltub,707.1097,21220,160.392,179.6926,516.3898,173,127.6889,214,179,164.372,641.0854,24422,665.8317,186.0479,157.5385,219.6921,160.392,179.6926,219,,1.3693,1.0396,0.73626,1.3549,,0.53331,1.181,0.94162,0.86889,,0.73028,0.16355,0.83645,164.372,0.90663,0.86889,,0.53331,0.84676,0.90663,0.86889,,0.55979,0.73626,0.53331,0.89259,1.1203,0.21981
Electron Image 43-16.tif,Eltub,1123.2245,35357,143,390,666.5652,377,91.711,393,149,212.1743,938.1707,42010,956.0905,389.3776,130.1693,393.8591,143,390,395,,1.6851,1.0537,0.63398,4.1107,,0.35217,2.9913,0.8512,0.84163,,0.59344,0.62087,0.37913,212.1743,0.83525,0.84163,,0.35217,0.3343,0.83525,0.84163,,0.2902,0.63398,0.35217,0.36667,2.7273,0.064793
Electron Image 6-21.tif,Eltub,1043.46,44466,189.8917,373.2401,747.5134,350,118.9118,380,197,237.9409,951.9037,52112,968.4928,372.8136,162.3304,379.7605,189.8917,373.2401,380,,1.3959,0.92648,0.62738,2.9434,,0.5132,2.2966,0.92816,0.85328,,0.71638,0.48158,0.51842,237.9409,0.91226,0.85328,,0.5132,0.43542,0.91226,0.85328,,0.39257,0.62738,0.5132,0.50877,1.9655,0.1264
Electron Image 6-22.tif,Eltub,848.8671,26553,134.1823,292.8154,577.6459,266,90.5544,295,143,183.8704,731.2275,29703,778.5451,267.5526,132.4493,295.0966,134.1823,292.8154,296,,1.4695,0.99399,0.67581,2.9375,,0.46307,2.02,0.91716,0.89395,,0.68049,0.51525,0.48475,183.8704,0.86142,0.89395,,0.46307,0.49504,0.86142,0.89395,,0.38824,0.67581,0.46307,0.45825,2.1822,0.1215
Electron Image 7-09.tif,Eltub,409.5879,7238,67.0054,141.0819,301.5881,138,51.6549,141,71,95.9985,392.7178,8235,405.0382,148.5035,65.1643,144.9896,67.0054,141.0819,144,,1.3581,0.98417,0.76566,2.6716,,0.54217,2.2789,0.98889,0.87893,,0.73632,0.49645,0.50355,95.9985,0.95881,0.87893,,0.54217,0.43881,0.95881,0.87893,,0.43838,0.76566,0.54217,0.47494,2.1055,0.18198
Electron Image 8-01.tif,Eltub,1103.9697,30771,107.9913,366.569,621.8358,339,85.0354,367,109,197.9365,938.9331,35889,1022.6747,388.4209,107.1795,376.4359,107.9913,366.569,377,,1.7753,1.1632,0.77732,3.9866,,0.31728,3.624,0.92636,0.85739,,0.56327,0.703,0.297,197.9365,0.85051,0.85739,,0.31728,0.27594,0.85051,0.85739,,0.27648,0.77732,0.31728,0.2946,3.3944,0.068187
Electron Image 9-10.tif,Eltub,990.389,32128,140.848,346.853,635.3994,347,92.4339,346,147,202.2539,892.3229,40604,954.2609,358.1272,124.9293,346.9755,140.848,346.853,348,,1.5587,1.0154,0.65764,3.754,,0.41161,2.8666,0.96352,0.79125,,0.64157,0.57514,0.42486,202.2539,0.90098,0.79125,,0.41161,0.34884,0.90098,0.79125,,0.33978,0.65764,0.41161,0.40607,2.4626,0.091974
Electron Image 12.tif,Fl,1024.7077,43417,242.9962,243.657,738.6434,223,188.9754,311,260,235.1175,888.3574,50293,909.609,279.1192,213.4506,315.6279,242.9962,243.657,316,,1.3873,1.0528,0.7333,1.18,,0.5196,1.3077,0.88768,0.86328,,0.72083,0.16399,0.83601,235.1175,0.86694,0.86328,,0.5196,0.76473,0.86694,0.86328,,0.55491,0.7333,0.5196,0.99729,1.0027,0.21143
Electron Image 13-11.tif,Fl,943.2346,44257,203.4732,303.7384,745.7546,262,145.6579,326,214,237.381,875.0681,48002,892.1966,305.8618,190.0649,331.5072,203.4732,303.7384,333,,1.2648,0.92982,0.7161,1.7987,,0.6251,1.6092,0.94589,0.92198,,0.79064,0.34356,0.65644,237.381,0.92773,0.92198,,0.6251,0.62141,0.92773,0.92198,,0.51275,0.7161,0.6251,0.6699,1.4928,0.22953
Electron Image 13-16.tif,Fl,1132.1463,46973,164.3606,373.8954,768.2969,340,126.5455,379,173,244.5565,1011.9727,55493,1089.9902,403.4424,167.1293,388.125,164.3606,373.8954,389,,1.4736,1.0517,0.76436,2.6868,,0.46052,2.414,0.96276,0.84647,,0.67862,0.54354,0.45646,244.5565,0.89385,0.84647,,0.46052,0.41426,0.89385,0.84647,,0.39702,0.76436,0.46052,0.43959,2.2748,0.13976
Electron Image 16-4.tif,Fl,1155.5433,33752,193.1801,309.0286,651.2604,258,115.7065,321,198,207.3026,863.3524,42522,924.3526,271.314,184.2767,321.6038,193.1801,309.0286,322,,1.7743,1.1505,0.56538,2.2298,,0.31764,1.4723,0.79993,0.79375,,0.5636,0.38318,0.61682,207.3026,0.74714,0.79375,,0.31764,0.6792,0.74714,0.79375,,0.4155,0.56538,0.31764,0.62512,1.5997,0.074618
Electron Image 19-06.tif,Fl,685.3107,14583,76.7684,266.2222,428.0834,260,54.6704,266,76,136.2632,646.0975,17146,693.7828,278.6593,70.7582,267.9254,76.7684,266.2222,269,,1.6009,0.99902,0.71354,4.7558,,0.39019,3.9382,1.0124,0.85052,,0.62466,0.71429,0.28571,136.2632,0.94278,0.85052,,0.39019,0.25392,0.94278,0.85052,,0.25866,0.71354,0.39019,0.28836,3.4679,0.072016
Electron Image 20-20.tif,Fl,789.3351,33412,190.6316,246.4571,647.9719,224,135.413,260,191,206.2559,743.193,34645,771.2436,238.5364,184.1051,263.0385,190.6316,246.4571,264,,1.2182,0.90295,0.71116,1.6542,,0.67389,1.2957,0.97708,0.96441,,0.82091,0.26538,0.73462,206.2559,0.94154,0.96441,,0.67389,0.77181,0.94154,0.96441,,0.61486,0.71116,0.67389,0.77349,1.2928,0.29467
Electron Image 20-4.tif,Fl,479.1859,10045,71.7879,185.6055,355.2875,186,54.172,185,72,113.0915,457.1859,10873,487.7939,181.4356,72.3799,185.6071,71.7879,185.6055,186,,1.3487,0.93084,0.75389,3.4335,,0.54973,2.5067,1.018,0.92385,,0.74144,0.61081,0.38919,113.0915,0.95409,0.92385,,0.54973,0.39893,0.95409,0.92385,,0.37125,0.75389,0.54973,0.38678,2.5855,0.15386
Electron Image 20-5.tif,Fl,890.1636,23998,129.5767,314.3529,549.1519,314,76.4159,313,133,174.8005,763.6367,29258,792.5318,293.2934,112.2157,314.3962,129.5767,314.3529,315,,1.621,1.0026,0.58916,4.1091,,0.38058,2.6137,0.89032,0.82022,,0.61691,0.57508,0.42492,174.8005,0.85786,0.82022,,0.38058,0.38261,0.85786,0.82022,,0.30912,0.58916,0.38058,0.4122,2.426,0.069312
Electron Image 21-09.tif,Fl,775.9209,18699,159.4851,175.8988,484.7459,164,111.983,218,145,154.2994,590.5828,22072,610.2137,202.1796,125.0351,218.9155,159.4851,175.8988,220,,1.6007,1.1568,0.66655,1.4645,,0.3903,1.617,0.78644,0.84718,,0.62474,0.33486,0.66514,154.2994,0.76114,0.84718,,0.3903,0.61844,0.76114,0.84718,,0.49679,0.66655,0.3903,0.90669,1.1029,0.12924
Electron Image 21-1.tif,Fl,727.4113,24613,172.6231,191.6534,556.1439,192,129.099,208,171,177.0261,645.5879,27447,663.0663,206.9823,159.752,221.2691,172.6231,191.6534,222,,1.308,0.99843,0.74396,1.4872,,0.58454,1.2956,0.91154,0.89675,,0.76455,0.17788,0.82212,177.0261,0.88751,0.89675,,0.58454,0.77181,0.88751,0.89675,,0.64008,0.74396,0.58454,0.90071,1.1102,0.27835
Electron Image 21-3.tif,Fl,748.5828,13564,138.9343,198.0195,412.8562,195,69.4271,192,153,131.4162,584.6589,18754,644.7992,187.5916,126.5334,208.1687,138.9343,198.0195,199,,1.8132,1.1108,0.49303,2.8087,,0.30417,1.4825,0.86136,0.72326,,0.55152,0.20313,0.79688,131.4162,0.78102,0.72326,,0.30417,0.67452,0.78102,0.72326,,0.39854,0.49303,0.30417,0.70162,1.4253,0.059766
Electron Image 22-10.tif,Fl,1260.5799,42031,221.9407,325.557,726.758,281,134.2515,356,213,231.3342,919.7199,51337,950.8504,313.0735,188.9593,356.7534,221.9407,325.557,357,,1.7345,1.1512,0.58171,2.0931,,0.33238,1.6568,0.7543,0.81873,,0.57653,0.40169,0.59831,231.3342,0.7296,0.81873,,0.33238,0.60356,0.7296,0.81873,,0.42048,0.58171,0.33238,0.68173,1.4669,0.0813
Electron Image 22-19.tif,Fl,877.3768,30570,151.661,308.0756,619.8015,298,99.2362,308,152,197.289,784.926,34182,814.7236,288.2066,139.5973,311.5205,151.661,308.0756,312,,1.4156,0.95422,0.65428,3.0029,,0.49904,2.0646,0.92859,0.89433,,0.70643,0.50649,0.49351,197.289,0.89463,0.89433,,0.49904,0.48437,0.89463,0.89433,,0.40108,0.65428,0.49904,0.49229,2.0313,0.13096
Electron Image 22-2.tif,Fl,859.0336,31565,173.9888,228.8609,629.8075,227,140.5783,229,173,200.474,778.3473,36913,801.5275,239.6627,180.0692,257.5127,173.9888,228.8609,259,,1.364,1.0662,0.79271,1.6148,,0.53752,1.3309,0.93306,0.85512,,0.73316,0.24454,0.75546,200.474,0.90607,0.85512,,0.53752,0.75134,0.90607,0.85512,,0.60606,0.79271,0.53752,0.76024,1.3154,0.25824
Electron Image 246-6.tif,Fl,786.9747,16385,121.157,227.291,453.762,187,78.8684,235,126,144.4369,597.0854,20711,628.9693,219.4249,114.9301,235.8665,121.157,227.291,237,,1.7343,1.1293,0.595,2.371,,0.33246,1.9092,0.79922,0.79113,,0.57659,0.46383,0.53617,144.4369,0.75871,0.79113,,0.33246,0.52378,0.75871,0.79113,,0.37499,0.595,0.33246,0.53305,1.876,0.074178
